Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation County,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation Location,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council,Census Tract,BIN,BBL,NTA
8017159560,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113,361082,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GREEN,,1993,,0,N 42,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7002571382,CXT8949,TX,PAS,02/17/2015,20,SUBN,MAZDA,T,51190,9140,61090,01/01/88880088 12:00:00 PM,109,109,359625,T401,G,0459P,,Q,O,39-15,Janet Pl,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,WHITE,,0,,0,17 4,20A-No Parking (Non-COM),,,,,,,,,,,
7939966900,GSR4914,NY,PAS,05/05/2015,20,SUBN,DODGE,T,20090,14010,22890,01/01/20160911 12:00:00 PM,0005,5,361097,T101,E,0127P,,NY,O,48,Eldridge St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,SILVE,,2008,,0,53 1,20A-No Parking (Non-COM),,,,,,,,,,,
7704167637,XBVP75,NJ,PAS,10/21/2014,16,VAN,FORD,T,5780,24830,43130,01/01/20140088 12:00:00 PM,0078,78,361332,T302,K,0401P,1200P,K,F,138,7th Ave,,01/05/0001 12:00:00 PM,408,k2,,YYYYYYY,,,WHITE,,0,,0,59 3,16-No Std (Com Veh) Com Plate,,,,,,,,,,,
7095480941,AP515N,NJ,PAS,08/21/2014,85,DELV,FRUEH,T,10790,19040,18990,01/01/88888888 12:00:00 PM,110,110,354200,T803,B,0225A,1014P,Q,O,97-11,50th Ave,,01/05/0001 12:00:00 PM,408,k5,,,,,WHITE,,0,,0,G 42,85-Storage-3 hour Commercial,,,,,,,,,,,
7831181295,16238TC,NY,TRC,08/07/2014,14,TRAC,PETER,T,13610,34410,34430,01/01/20150430 12:00:00 PM,0014,14,345058,T102,C,0802A,,NY,O,1260,Broadway,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,BLUE,,2014,,0,04 6,14-No Standing,,,,,,,,,,,
8007006229,122YEZ,CT,PAS,08/26/2014,21,4DSD,NISSA,T,5580,9080,9130,01/01/20140088 12:00:00 PM,0072,72,332021,T302,L,0817A,,K,O,5022,5th Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0800A,0830A,TAN,,0,,0,J 32,21-No Parking (street clean),,,,,,,,,,,
1369109532,65920JW,NY,COM,06/23/2014,46,VAN,MERCU,P,18770,10010,45590,01/01/20141031 12:00:00 PM,0019,19,942227,0019,0000,0945A,,NY,F,428,E 89,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,2007,-,0,,,,,,,,,,,,,
7580650400,GBU2135,NY,PAS,09/24/2014,71,SUBN,HONDA,T,10110,17190,17210,01/01/20160816 12:00:00 PM,0009,9,361338,T105,C,0804P,,NY,F,166,2nd Ave,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2012,,0,002,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7420795630,6AJWV5,CT,PAS,10/04/2014,37,SUBN,FORD,T,40220,27180,27270,01/01/88880088 12:00:00 PM,0048,48,361051,T201,G,0403P,0318P,BX,F,2390,Hoffman St,,01/01/20141004 12:00:00 PM,408,h1,,Y,0800A,0700P,BLACK,,0,213-1194,0,34 2,37-Expired Muni Meter,,,,,,,,,,,
1379105602,GDL7305,NY,PAS,01/21/2015,70,SDN,TOYOT,P,19330,10010,29090,01/01/20150105 12:00:00 PM,0025,25,919749,0025,0000,0644P,,NY,O,414,EAST 119 STR,,01/05/0001 12:00:00 PM,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,2012,-,0,,,,,,,,,,,,,
7054223901,58359MD,NY,COM,03/26/2015,42,PICK,FORD,T,18070,0,0,01/01/20150831 12:00:00 PM,0014,14,357684,T106,L,0441P,,NY,I,N,E 54th St,20ft E/of 5th Ave,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0700A,0600P,BL,,2011,143-3233,0,112,42-Exp. Muni-Mtr (Com. Mtr. Z),,,,,,,,,,,
8011213386,60304MD,NY,COM,10/06/2014,46,DELV,FRUEH,T,8140,8590,8690,01/01/88888888 12:00:00 PM,114,114,358655,T401,N,0301P,1200P,Q,F,35-34,31st St,,01/01/20141006 12:00:00 PM,408,F1,,,,,BROWN,,2014,,0,E-AM,46B-Double Parking (Com-100Ft),,,,,,,,,,,
7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30,354084,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,
7997989572,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30,354084,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BK,,2011,,0,CC1,20A-No Parking (Non-COM),,,,,,,,,,,
7097098715,G78DLL,NJ,PAS,03/11/2015,38,SUBN,BMW,T,49130,67030,64830,01/01/88888888 12:00:00 PM,0079,79,358894,T301,G,1210P,,K,F,121,Herkimer St,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GREY,,0,,0,09 3,38-Failure to Display Muni Rec,,,,,,,,,,,
7787591079,GKP6078,NY,PAS,11/19/2014,20,SUBN,CHRYS,T,15010,15510,26440,01/01/20151126 12:00:00 PM,0007,7,353194,T105,M,0713A,,NY,O,340,Cherry St,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0700A,0400P,GL,,2005,,0,J 99,20A-No Parking (Non-COM),,,,,,,,,,,
8023905028,GAR6688,NY,PAS,02/24/2015,20,4DSD,MAZDA,T,26630,67030,64830,01/01/20161108 12:00:00 PM,0070,70,333002,T302,M,0943A,,K,O,324,Clarkson Ave,,01/05/0001 12:00:00 PM,408,d,,YYYYY,0800A,0600P,TN,,2008,,0,C 32,20A-No Parking (Non-COM),,,,,,,,,,,
1369992300,1545236,ME,PAS,08/20/2014,66,TRAI,,S,62030,81050,94630,01/01/20150228 12:00:00 PM,0075,0,527637,0PIU,0000,0334A,,K,F,651,MONTAUK AVE,,01/05/0001 12:00:00 PM,408,K4,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,,,,,,,,,
7359154236,M80ANH,NJ,PAS,11/14/2014,37,4DSD,ACURA,T,72720,26760,26790,01/01/88888888 12:00:00 PM,0048,48,356985,T201,F,0344P,0327P,BX,F,1405,Walton Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,RED,,0,204-3008,0,48 2,37-Expired Muni Meter,,,,,,,,,,,
7950697490,25X944,OK,PAS,12/23/2014,46,DELV,INTER,T,16310,0,0,01/01/20140088 12:00:00 PM,0007,7,359578,T101,C,0240P,1200P,NY,I,N,Delancey St,10ft E/of Columbia S,01/01/20141223 12:00:00 PM,408,F1,,,,,WHITE,,0,,0,28 1,46B-Double Parking (Com-100Ft),,,,,,,,,,,
1371360765,36913MA,NY,COM,09/15/2014,46,DELV,HINO,P,10510,34230,34250,01/01/20150630 12:00:00 PM,0013,13,952479,0013,0000,1056A,,NY,O,716,6TH AVE,,01/05/0001 12:00:00 PM,408,E1,,BBBBBBB,ALL,ALL,WHITE,0,2012,-,0,,,,,,,,,,,,,
8035700765,GKB7155,NY,PAS,06/09/2015,21,SUBN,CHRYS,T,89030,60730,57030,01/01/20160224 12:00:00 PM,0090,90,355674,T301,G,1115A,,K,F,188,Wallabout St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1100A,1230A,BR,,2015,,0,14 3,21-No Parking (street clean),,,,,,,,,,,
7766334392,CJP1169,NY,PAS,09/05/2014,37,SUBN,NISSA,T,64790,18640,18790,01/01/20150325 12:00:00 PM,103,103,361042,T402,B,0455P,0448P,Q,F,94-14,Sutphin Blvd,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BLACK,,1998,403-3030,0,03 4,37-Expired Muni Meter,,,,,,,,,,,
7744281500,EYB8055,NY,PAS,12/18/2014,21,SUBN,TOYOT,T,0,0,0,01/01/20160402 12:00:00 PM,0052,52,361369,T201,H,1154A,,BX,I,W,Bainbridge Ave,10ft S/of E 208th St,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1130A,0100P,GY,,2010,,0,55 2,21-No Parking (street clean),,,,,,,,,,,
8021902164,96313JE,NY,COM,04/07/2015,46,REFG,ISUZU,T,53830,29830,42730,01/01/20151231 12:00:00 PM,0084,84,357114,T301,E,1253P,1200P,K,F,210,Joralemon St,,01/01/20150407 12:00:00 PM,408,F1,,,,,WH,,2013,,0,01 3,46B-Double Parking (Com-100Ft),,,,,,,,,,,
7579558312,60154JZ,NY,COM,09/11/2014,89,PICK,CHEVR,T,10610,34530,34550,01/01/20160331 12:00:00 PM,0018,18,359588,T102,M,0741A,,NY,F,533,7th Ave,,01/05/0001 12:00:00 PM,408,l4,,YYYYYYY,0700A,0700P,WH,,2010,,0,10 6,89-No Stand Exc Com Plate,,,,,,,,,,,
7006621586,FFE3632,NY,PAS,08/12/2014,38,SUBN,TOYOT,T,47990,10240,10390,01/01/88888888 12:00:00 PM,108,108,355608,T401,J,0402P,,Q,F,45-17,Greenpoint Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,BROWN,,2013,,0,36 4,38-Failure to Display Muni Rec,,,,,,,,,,,
7567693926,GSM7092,NY,PAS,07/14/2014,21,4DSD,HONDA,T,10540,10590,10790,01/01/20140818 12:00:00 PM,108,108,357710,T401,A,0916A,,Q,O,48-11,47th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0900A,1030A,BLACK,,2014,,0,38 4,21-No Parking (street clean),,,,,,,,,,,
8013576309,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114,361287,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2007,,0,26 4,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
8013576309,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114,361287,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,WH,,2007,,0,26 4,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7540622817,G98BVF,NJ,PAS,09/09/2014,37,SUBN,DODGE,T,44930,29230,87630,01/01/88888888 12:00:00 PM,0090,90,358930,T301,H,0433P,0406P,K,F,45,Graham Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,0700P,SILVE,,0,328-3058,0,15 3,37-Expired Muni Meter,,,,,,,,,,,
7468795666,33451MB,NY,COM,05/26/2015,21,VAN,FORD,T,23940,17040,17130,01/01/20161024 12:00:00 PM,107,107,361861,T402,G,0843A,,Q,O,84-06,159th St,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,1000A,RED,,2003,,0,08 4,21-No Parking (street clean),,,,,,,,,,,
7665067440,JFS9782,PA,PAS,11/29/2014,38,2DSD,AUDI,T,10110,19190,19210,01/01/20150188 12:00:00 PM,0019,19,355156,T103,A,0906A,,NY,F,2170,2nd Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,WHITE,,0,,0,A 77,38-Failure to Display Muni Rec,,,,,,,,,,,
7236306897,18846MC,NY,COM,07/31/2014,14,DELV,NS/OT,T,18250,25390,27790,01/01/20150430 12:00:00 PM,0019,19,345536,T503,B1,0109P,,NY,F,41,E 63rd St,,01/05/0001 12:00:00 PM,408,c,,Y,0700A,0700P,WHITE,,0,,0,17 7,14-No Standing,,,,,,,,,,,
7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,0090,90,345228,T301,A,0850A,,K,F,147,Grand St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,
7553907455,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,0090,90,345228,T301,A,0850A,,K,F,147,Grand St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,TAN,,0,,0,14 3,21-No Parking (street clean),,,,,,,,,,,
7557194007,CME3770,NY,PAS,12/11/2014,71,SUBN,SUBAR,T,78230,19530,18630,01/01/20150604 12:00:00 PM,0090,90,358649,T301,H,0232P,,K,O,113,S 2nd St,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,GY,,2005,,0,14 3,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7166745757,GEB3048,NY,PAS,08/25/2014,38,4DSD,HYUND,T,39800,40404,40404,01/01/20150114 12:00:00 PM,122,122,356557,T303,E,0259P,,R,I,,New Dorp Lane Munici,,01/05/0001 12:00:00 PM,408,h1,,Y,0800A,1000P,GY,,2010,,0,03-P,38-Failure to Display Muni Rec,,,,,,,,,,,
8005280350,55065MB,NY,COM,11/24/2014,69,VAN,WORKH,T,34410,10410,13610,01/01/88888888 12:00:00 PM,0014,14,359305,T102,M,0448P,,NY,F,11,W 32nd St,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0800A,0600P,BROWN,,2011,,0,22 6,69-Failure to Disp Muni Recpt,,,,,,,,,,,
7758777260,GLY1430,NY,PAS,01/03/2015,14,4DSD,TOYOT,T,18290,17740,17990,01/01/20160309 12:00:00 PM,102,102,356555,T803,A,1143P,,Q,F,8719,91st Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,GY,,2003,,0,I 42,14-No Standing,,,,,,,,,,,
7758777260,GLY1430,NY,PAS,01/03/2015,14,4DSD,TOYOT,T,18290,17740,17990,01/01/20160309 12:00:00 PM,102,102,356555,T803,A,1143P,,Q,F,8719,91st Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,GY,,2003,,0,I 42,14-No Standing,,,,,,,,,,,
7846676386,75455MC,NY,COM,07/28/2014,42,VAN,MITSU,T,10510,34810,34830,01/01/20151231 12:00:00 PM,0018,18,355231,T102,H,1121A,,NY,O,1301,6th Ave,,01/05/0001 12:00:00 PM,408,h1,,YYYYY,0700A,0400P,WH,,2012,143-3313,0,99 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,,,,,,,,,
7576361815,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,0043,43,361790,T202,E,1202P,,BX,F,1354,White Plains Rd,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BLACK,,2014,,0,04A,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7576361815,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,0043,43,361790,T202,E,1202P,,BX,F,1354,White Plains Rd,,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BLACK,,2014,,0,04A,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
8035751074,GXM6310,NY,PAS,05/30/2015,37,4DSD,SUBAR,T,0,40404,40404,01/01/20170507 12:00:00 PM,0084,84,361328,T301,H,0232P,0220P,K,F,340,Flatbush Ave Exten,,01/01/20150530 12:00:00 PM,408,h1,,Y,0900A,0400P,BK,,2014,301-3673,0,06 3,37-Expired Muni Meter,,,,,,,,,,,
7055049702,XU399F,NJ,PAS,05/09/2015,14,DELV,UD,T,10910,34750,34770,01/01/88880088 12:00:00 PM,0017,17,356212,T106,A,1030A,,NY,F,729,9th Ave,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,SILVE,,0,,0,99 6,14-No Standing,,,,,,,,,,,
7715539594,62417JM,NY,COM,10/29/2014,20,VAN,INTER,T,10210,18670,18690,01/01/88888888 12:00:00 PM,0019,19,358246,T103,N,0256P,1200P,NY,O,1505,3rd Ave,,01/01/20141029 12:00:00 PM,408,d,,YYYYYYY,,,BROWN,,0,,0,56 7,20-No Parking (Com Plate),,,,,,,,,,,
8017257454,GRD8338,NY,PAS,12/05/2014,21,SUBN,HONDA,T,57520,19540,19740,01/01/20160521 12:00:00 PM,110,110,341274,T401,L,0841A,,Q,F,102-32,Nicolls Ave,,01/05/0001 12:00:00 PM,408,d1,,Y,0830A,1000A,GY,,2006,,0,O 41,21-No Parking (street clean),,,,,,,,,,,
7799971009,FPJ1465,NY,PAS,08/28/2014,38,SUBN,LEXUS,T,8320,55520,77150,01/01/20150811 12:00:00 PM,0049,49,359283,T202,F,0552P,,BX,F,677,Allerton Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,LTG,,2004,,0,11P,38-Failure to Display Muni Rec,,,,,,,,,,,
8024714814,GVJ6924,NY,PAS,05/12/2015,21,4DSD,NISSA,T,7740,7990,37290,01/01/20170104 12:00:00 PM,114,114,355697,T401,Q,1139A,,Q,F,31-75,29th St,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,1130A,0100P,GY,,2014,,0,31 4,21-No Parking (street clean),,,,,,,,,,,
8018677712,T653918C,NY,OMT,05/21/2015,21,4DSD,TOYOT,T,72320,26670,40520,01/01/20150731 12:00:00 PM,0042,42,357371,T201,X,0811A,,BX,F,1173,Vyse Ave,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0800A,0930A,WH,,2014,,0,Q 21,21-No Parking (street clean),,,,,,,,,,,
7578730459,GKZ9055,NY,PAS,11/21/2014,21,4DSD,ACURA,T,53920,55720,18520,01/01/20160101 12:00:00 PM,0043,43,357732,T202,A,0942A,,BX,O,2146,Newbold Ave,,01/05/0001 12:00:00 PM,408,d1,,Y  Y,0930A,1100A,WH,,2002,,0,12A,21-No Parking (street clean),,,,,,,,,,,
7793554656,81091MB,NY,COM,09/09/2014,37,SUBN,NS/OT,T,10110,18590,18610,01/01/20160104 12:00:00 PM,0019,19,354125,T103,Q,1051A,1043A,NY,F,1546,2nd Ave,,01/01/20140909 12:00:00 PM,408,h1,,Y,0830A,0700P,GREEN,,2003,126-4950,0,C 77,37-Expired Muni Meter,,,,,,,,,,,
1375236910,GJS5597,NY,PAS,09/23/2014,38,SDN,HONDA,P,41930,0,0,01/01/20150807 12:00:00 PM,0071,71,956215,0071,0000,0649P,,K,F,840,FRANKLIN AV,E,01/05/0001 12:00:00 PM,408,I4,,BBBBBBB,ALL,ALL,BK,0,2013,-,0,,,,,,,,,,,,,
7211165765,ETU5293,NY,PAS,11/04/2014,38,4DSD,LEXUS,T,6630,5430,5580,01/01/20150812 12:00:00 PM,0078,78,361368,T302,O,0125P,,K,O,205,15th St,,01/05/0001 12:00:00 PM,408,h1,,Y,0900A,0700P,BK,,2012,,0,56 3,38-Failure to Display Muni Rec,,,,,,,,,,,
8018711094,EWT8528,NY,PAS,05/28/2015,37,SUBN,HONDA,T,29320,10020,73520,01/01/20160222 12:00:00 PM,0052,52,361340,T201,L,0120P,1257P,BX,O,171,E Gun Hill Rd,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,GY,,2013,207-3007,0,41 2,37-Expired Muni Meter,,,,,,,,,,,
1367471345,GSE2596,NY,PAS,08/09/2014,71,SDN,TOYOT,P,27820,31390,31510,01/01/20160729 12:00:00 PM,101,101,946050,0101,0000,1005A,,Q,F,54-09,ALMEDA AVE,,01/05/0001 12:00:00 PM,408,F2,,BBBBBBB,ALL,ALL,WH,0,2014,-,0,,,,,,,,,,,,,
7006635950,GMW4217,NY,PAS,04/02/2015,71,4DSD,ME/BE,T,57790,0,0,01/01/20160307 12:00:00 PM,114,114,347619,T401,F,1228P,,Q,I,N,Northern Blvd,45ft E/of 38th St,01/05/0001 12:00:00 PM,408,j6,,YYYYYYY,,,BLACK,,2013,,0,28 4,71A-Insp Sticker Expired (NYS),,,,,,,,,,,
7012261912,87628MC,NY,COM,12/19/2014,40,DELV,INTER,T,10010,0,0,01/01/20150228 12:00:00 PM,0019,19,358669,T103,Q,0136P,,NY,I,E,1st Ave,1ft S/of E 75th St,01/05/0001 12:00:00 PM,408,e2,,YYYYYYY,,,RD,,2013,,0,17 7,40-Fire Hydrant,,,,,,,,,,,
8007021619,DT50359,AL,PAS,12/19/2014,21,4DSD,ME/BE,T,90680,0,0,01/01/20151188 12:00:00 PM,0062,62,351343,T302,A,0959A,,K,I,E,W 4th St,5ft S/of Avenue P,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,BLACK,,0,,0,04 3,21-No Parking (street clean),,,,,,,,,,,
7988181105,DLM5398,NY,PAS,12/05/2014,21,4DSD,HONDA,T,90530,9830,14380,01/01/20151124 12:00:00 PM,0061,61,332107,T302,M,0938A,,K,F,1543,W 1st St,,01/05/0001 12:00:00 PM,408,d1,,Y,0930A,1100A,WH,,1998,,0,O 32,21-No Parking (street clean),,,,,,,,,,,
7985378662,AP580Z,NJ,PAS,11/18/2014,84,DELV,FRUEH,T,17790,0,0,01/01/88888888 12:00:00 PM,0014,14,341966,T106,E,0720A,,NY,I,N,E 40th St,10ft W/of Madison Av,01/05/0001 12:00:00 PM,408,k7,,,,,WHITE,,0,,0,55 6,84-Platform lifts in low posit,,,,,,,,,,,
7565529965,81651JN,NY,COM,07/23/2014,48,DELV,INTER,T,37370,21190,28890,01/01/20141130 12:00:00 PM,0034,34,355180,T103,J,1033A,,NY,F,815,W 181st St,,01/05/0001 12:00:00 PM,408,e9,,,,,WHITE,,2004,,0,21 7,48-Bike Lane,,,,,,,,,,,
7969133666,FYK4168,NY,PAS,11/24/2014,38,4DSD,TOYOT,T,76950,72820,49020,01/01/20160320 12:00:00 PM,0043,43,359283,T202,F,0357P,,BX,O,1563,Westchester Ave,,01/05/0001 12:00:00 PM,408,h1,,Y,0830A,0700P,WH,,2002,,0,03P,38-Failure to Display Muni Rec,,,,,,,,,,,
7715546963,AM871N,NJ,PAS,12/24/2014,14,DELV,INTER,T,34650,30550,10810,01/01/88888888 12:00:00 PM,0018,18,345536,T503,B1,0613A,,NY,F,234,W 44th St,,01/05/0001 12:00:00 PM,408,c,,YYYYYYY,,,GREEN,,0,,0,17 7,14-No Standing,,,,,,,,,,,
7811447563,C88DJT,NJ,PAS,08/30/2014,20,4DSD,NISSA,T,35190,11710,44990,01/01/88888888 12:00:00 PM,0020,20,355220,T103,M,0552P,,NY,F,276,W 71st St,,01/05/0001 12:00:00 PM,408,d,,Y,0800A,0600P,BLACK,,0,,0,C 77,20A-No Parking (Non-COM),,,,,,,,,,,
